Age Group,Male_Estimate,Female_Estimate
Under 5 years,11990,13013
5 to 9 years,11875,12562
10 to 14 years,11867,10828
15 to 19 years,14861,16211
20 to 24 years,24344,24294
25 to 29 years,26882,27292
30 to 34 years,25235,23929
35 to 39 years,20537,19337
40 to 44 years,16649,16563
45 to 49 years,13609,12834
50 to 54 years,14725,12487
55 to 59 years,13797,11902
60 to 64 years,10622,13573
65 to 69 years,9899,12024
70 to 74 years,7616,10776
75 to 79 years,4344,7365
80 to 84 years,3841,3368
85 years and over,1114,4315
