Incidence Rate Report for Georgia by HSA

"Cervix (All Stages^), 2017-2021"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

Health Service Area,HSA_Code,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Georgia(7)",13000,8 ,7.7, 8.4,N/A , N/A , N/A,444,stable,-0.2 ,-4.1, 3.5
"US (SEER+NPCR)(1)",00000,7.5 ,7.5, 7.6,N/A , N/A , N/A,12670,falling,-1.2 ,-2.3, -0.5
"Tift, GA - Ben Hill, GA(7)",0189,13.3 ,8.4, 19.8,1 , 1 , 26,5,stable,-1.6 ,-5.8, 2.0
"Laurens, GA - Toombs, GA(7)",0206,13.2 ,9.4, 18.1,2 , 1 , 18,8,stable,1.7 ,-1.5, 5.1
"Thomas, GA - Mitchell, GA(7)",0178,12.9 ,8.5, 18.6,3 , 1 , 24,6,stable,0.9 ,-2.6, 4.7
"Coffee, GA - Jeff Davis, GA(7)",0236,12.4 ,7.4, 19.3,4 , 1 , 28,4,stable,-2.5 ,-6.2, 0.9
"Floyd, GA - Bartow, GA(7)",0154,11.2 ,9, 13.8,5 , 1 , 19,19,rising,1.8 ,0.2, 3.6
"Stephens, GA - Hart, GA(7)",0216,11 ,6.6, 17.2,6 , 1 , 28,4,stable,3.4 ,-30.2, 31.2
"Spalding (Griffin), GA - Butts, GA(7)",0204,11 ,7, 16.4,7 , 1 , 28,5,*,*,*,*
"Walker, GA - Catoosa, GA(7)",0141,10.7 ,7.6, 14.7,8 , 1 , 26,8,stable,0.6 ,-2.8, 4.2
"Whitfield, GA - Murray, GA(7)",0145,10.2 ,7.1, 14.2,9 , 1 , 27,7,stable,0.5 ,-2.4, 3.7
"Sumter, GA - Crisp, GA(7)",0197,10.2 ,6, 16.1,10 , 1 , 28,4,*,*,*,*
"Richmond (South Augusta), GA - Columbia, GA(7)",0830,10.1 ,8.2, 12.3,11 , 3 , 21,22,stable,0.2 ,-2.0, 2.4
"Bulloch, GA - Emanuel, GA(7)",0222,9.6 ,6.3, 14,12 , 1 , 28,6,falling,-3.3 ,-6.8, -0.3
"Carroll, GA - Haralson, GA(7)",0896,9.4 ,6.5, 13.2,13 , 2 , 28,7,stable,-1.4 ,-5.6, 2.6
"Ware, GA - Pierce, GA(7)",0174,9.3 ,5.3, 15,14 , 1 , 28,3,*,*,*,*
"Bibb (Macon), GA - Houston, GA(7)",0193,9 ,7.3, 11,15 , 5 , 26,21,rising,4.5 ,1.6, 11.7
"Hall, GA - Habersham, GA(7)",0157,8.4 ,6.6, 10.5,16 , 6 , 27,16,stable,0.0 ,-1.7, 1.8
"Glynn, GA - Camden, GA(7)",0890,8.2 ,5.8, 11.3,17 , 4 , 28,8,falling,-3.6 ,-7.6, -0.3
"Clarke (Athens), GA - Barrow, GA(7)",0829,8.1 ,6.3, 10.2,18 , 7 , 28,14,stable,-0.4 ,-2.4, 1.7
"Dougherty (Albany), GA - Lee, GA(7)",0144,8.1 ,5.6, 11.3,19 , 4 , 28,7,stable,-1.8 ,-6.4, 2.3
"Muscogee (Columbus), GA - Harris, GA(7)",0893,7.8 ,5.8, 10.3,20 , 7 , 28,11,stable,-1.0 ,-3.3, 1.3
"Cherokee, GA - Douglas, GA(7)",0826,7.7 ,6.3, 9.2,21 , 10 , 28,24,stable,1.3 ,-19.0, 16.0
"Newton (Covington), GA(7)",0827,7.6 ,4.7, 11.5,22 , 4 , 28,4,stable,-2.8 ,-6.0, 0.5
"Fulton (Atlanta), GA - DeKalb, GA(7)",0153,7.5 ,6.9, 8.2,23 , 14 , 26,121,stable,0.3 ,-1.9, 5.9
"Coweta, GA - Troup (La Grange), GA(7)",0894,7.5 ,5.5, 10,24 , 7 , 28,10,stable,-1.5 ,-4.6, 1.5
"Lowndes, GA - Brooks, GA(7)",0180,7.3 ,4.9, 10.5,25 , 6 , 28,6,falling,-3.0 ,-5.7, -0.7
"Chatham (Savannah), GA - Liberty, GA(7)",0143,7 ,5.6, 8.7,26 , 12 , 28,18,falling,-1.7 ,-3.5, -0.1
"Cobb (Marietta), GA(7)",0190,6.9 ,5.8, 8.2,27 , 14 , 28,28,falling,-1.6 ,-2.5, -0.7
"Henry, GA - Forsyth, GA(7)",0825,5.8 ,4.8, 6.9,28 , 21 , 28,25,stable,-1.6 ,-3.6, 0.4
"Baldwin, GA(7)",0828,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Colquitt, GA(7)",0254,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Decatur, GA - Seminole, GA(7)",0228,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Elbert, GA - Wilkes, GA(7)",0253,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Gilmer, GA - Fannin, GA(7)",0173,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Jasper, GA(7)",0220,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Morgan, GA - Greene, GA(7)",0164,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Putnam, GA - Hancock, GA(7)",0201,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Quitman, GA(7)",0891,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Rabun, GA(7)",0268,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Upson, GA - Lamar, GA(7)",0269,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Warren, GA - Glascock, GA(7)",0152,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Washington, GA - Jefferson, GA(7)",0250,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Wayne, GA - Appling, GA(7)",0230,* ,*, *,* , * , *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 11/03/2025 8:16 pm.

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.
