Age Group,Male_Estimate,Female_Estimate
Under 5 years,309291,303252
5 to 9 years,355452,330259
10 to 14 years,383057,373089
15 to 19 years,408905,375429
20 to 24 years,377995,375384
25 to 29 years,370271,370764
30 to 34 years,384222,400951
35 to 39 years,371111,397321
40 to 44 years,370420,391125
45 to 49 years,333561,361536
50 to 54 years,351421,373310
55 to 59 years,318045,335707
60 to 64 years,331669,361728
65 to 69 years,265469,304997
70 to 74 years,214778,268643
75 to 79 years,152236,194246
80 to 84 years,89465,121781
85 years and over,54218,99770
